Name,Website,Institution,Klassifikation,Kurz Beschreibung,Schlagwörter,Land,Sprache,Software / Modell / Format,Lizenz,Open access,Aktuell/gepflegt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz
Health & Safety Guides A Conservator's Guide to Labeling Hazardous Chemicals  - Glossary,https://www.conservation-wiki.com/wiki/Health_%26_Safety:_A_Conservator%27s_Guide_to_Labeling_Hazardous_Chemicals#Glossary_.28takenfrom_29_CFR_1910._1200.28c.29.29,American Institute for Conservation,"Fachdokumentation, Vokabular","Ein Leitfaden zur Kennzeichnung gefährlicher Chemikalien für Restaurator:innnen, der Informationen zu OSHA-Vorschriften, Kennzeichnungssystemen (NFPA, NPCA) und Verfahren zur ordnungsgemäßen Kennzeichnung gefährlicher Chemikalien enthält. Inklusive eines Glossars zu Begriffen aus diesem Bereich.",,USA,englisch,MediaWiki,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,FALSE,TRUE,FALSE
HERACLES,https://www.european-mrs.com/networking-project/heracles ; https://cordis.europa.eu/project/id/700395/de ; https://github.com/FraunhoferIOSB/HERACLES?tab=readme-ov-file,European Union’s Horizon 2020,"Ontologie, Anwendung/Software, Repositorium","HERACLES war ein EU-Projekt von 2016-2019, an dem verschiedene Länder beteiligt waren. Das Ergebnis ist einerseits eine kommerzielle Plattform zur Sammlung und Analyse von Daten, die bei der Entwicklung von fundstättenspezifischen Maßnahmen zur Erhaltungung und Schutz vor den Auswirkungen des Klimawandels helfen sollen, eine frei zugängliche Knowledge Base, auf der alle Projektergebnisse aufgeführt wurden, und eine Ontologie zu Kulturerbeobjekten, Materialien, Schäden und Risikoeinschätzung.",,diverse,englisch,"WebGenesis / SWEET, GitHub",Ontologie nach CC BY-SA 4.0. Für weitere Projektergebnisse keine spezifische Lizenz angegeben; urheberrechtlich geschützt,teilweise,FALSE,TRUE,TRUE
Herein: Terminology,https://www.coe.int/en/web/herein-system/terminology,Council of Europe,Vokabular,"Mehrsprachiges Vokabular zu Begriffen und Institutionen aus dem Bereich des kulturellen Erbes im Aufgabengebiet des Europarats. Vor allem übergreifende Begriffe, Berufsbezeichnungen, und Verfahrensschritte.",,diverse,"deutsch, englisch, bulgarisch, kroatisch, niederländisch, finnisch, französisch, griechisch, ungarisch, norwegisch, polnisch, portugiesisch, rumänisch, slovenisch, spanisch",PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
hericare heritage conservation and restoration experience,https://www.hericare.de/german/start.php,"Hornemann-Institut, HAWK Hildesheim","Repositorium, Fachdokumentation","Online-Datenbank von Dokumentationen von interessanten Erhaltungsprojekten, u.a. von MONUFAKT der Deutschen Bundesstiftung Umwelt, mit vielen weiterführenden Informationen. Die Dokumentationen beinhalten Stein-, Wandmalerei-, Glas- und Metallrestaurierung.",,DE,"deutsch, englisch",HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
IANUS FDM-Empfehlungen,https://ianus-fdz.de/it-empfehlungen/,"IANUS Forschungsdatenzentrum
 & Altertumswissenschaften ",Fachdokumentation,"Empfehlungen, Hintergrundinformationen und Praxistipps, die vor allem den Austausch, die Langzeitarchivierung und die Nachnutzbarkeit von digitalen Forschungsdaten adressieren. Umfasst technische Formate, Methoden, verschiedene Metadatenstandard-Empfehlungen, und verschiedene Empfehlungen zu kontrollierten Vokabularen.",,DE,deutsch,HTML,CC BY-SA 4.0,TRUE,FALSE,TRUE,TRUE
IASA Cataloging Rules,https://www.iasa-web.org/cataloguing-rules/appendix-c-terms-physical-condition-sound-recordings,International Association of Sound and Audiovisual Archives,Vokabular,"Die IASA-Katalogisierungsregeln enthalten englischsprachige Begriffe und Definitionen, die sich auf häufige Zustandsprobleme bei Schallaufnahmen (Schallplatten und Magnetbänder) beziehen.",,diverse,englisch,HTML,© International Association of Sound and Audiovisual Archives (IASA)Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. ,TRUE,FALSE,TRUE,FALSE
iDAI.bibliography / Zenon,https://zenon.dainst.org/,Deutsches Archäologisches Institut (DAI),Repositorium,Datenbank zu archäologischer Fachliteratur.,,DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
iDAI.chronontology,https://chronontology.dainst.org/,Deutsches Archäologisches Institut (DAI),"Ontologie, Vokabular","iDAI.chronontology (Kurzform: ChronOntology) ist ein Webservice, der Zeitbegriffe, also Epochen, Perioden und Ereignisse, mit Datierungen verbindet. Es ist ein Normdatenvokabular für sämtliche zeitbezogenen Informationen und Informationssysteme des DAI. ",,DE,"deutsch, englisch","HTML, JSON",CC BY 4.0,TRUE,TRUE,TRUE,TRUE
iDAI.field,https://field.idai.world/ ; https://github.com/dainst/idai-field ,Deutsches Archäologisches Institut (DAI),Anwendung/Software,"iDAI.field ist eine open-source-Software zur Erfassung von Grabungsdaten im Feld. Es handelt sich um ein Geographisches Informationssystem. Der Dienst bietet neben einem kollaborativen Ansatz auch die Integration von Bild- und Geodaten sowie die internationale Nutzbarkeit durch die mehrsprachige Benutzeroberfläche. Die Inhalte können über Relationen miteinander verbunden werden. Zudem bietet die Web-Anwendung die Option, Grabungsdokumentationen zu veröffentlichen.",,DE,"deutsch, englisch",?,Apache License 2.0,TRUE,TRUE,FALSE,TRUE
iDAI.gazetteer,https://gazetteer.dainst.org/app/#!/home,Deutsches Archäologisches Institut (DAI),Vokabular,"Webservice zur Verbindung, Zuordnung und Kontextualisierung von Ortsnamen mit Koordinaten und Informationen. Das Vokabular wird zudem auf der Webseite graphisch dargestellt.",,DE,"deutsch, englisch, arabisch","OWL, HTML, RDF/XML, JSON, GeoJSON, Shapefile, KML",CC BY 4.0,TRUE,TRUE,TRUE,TRUE
iDAI.thesaurus,http://thesauri.dainst.org/de.html,Deutsches Archäologisches Institut (DAI),Vokabular,"Thesaurus des Deutschen Archäologischen Instituts sowie alle historischen und aktuellen Vokabulare und Begriffssammlungen des Instituts. Der iDAI.world Thesaurus versammelt und vereinheitlicht alle Thesauri und Vokabulare der Bibliotheken und Projekte des Deutschen Archäologischen Instituts. Er umfasst Begriffssammlungen zu Orten, Regionen und Ländern, chronologischen Begriffen und Sachbegriffen.",,DE,"deutsch, englisch, französisch, spanisch, polnisch, italienisch","SKOS, RDF/XML, RDF/Turtle, RDF/NTriples",CC BY 4.0,TRUE,TRUE,TRUE,TRUE
Illustrated Glossary by the York Glaziers Trust,http://www.yorkglazierstrust.org/resources/illustrated-glossary/,The York Glaziers Trust,Vokabular,Fotografisch illustriertes Glossar zu Objekten und Techniken im Bereich Glas.,,GBR,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © 2017 York Glaziers Trust,TRUE,FALSE,TRUE,FALSE
Illustrated Glossary of Paper Conservation: damages and treatments,https://finotracoeditora.files.wordpress.com/2022/06/illustrated-glossary-_en.pdf ; DOI:10.52884/eft-gloscon.002 ,"Silvana Bojanoski, Márcia Almada",Vokabular,"Ein illustriertes Glossar zur Papierkonservierung, das Schäden und Behandlungen im Zusammenhang mit Papier erläutert.",,diverse,"englisch, spanisch, portugiesisch, griechisch",PDF,"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Silvana Bojanoski, Márcia Almada",TRUE,FALSE,TRUE,FALSE
Illustrated glossary on stone deterioration patterns,https://github.com/ncarboni/ISCS,International Scientific Committee for Stone,"Ontologie, Vokabular",Das ISCS Glossary ist eine inoffizielle Turtle-Version des ICOMOS-Glossars zu Steinverwitterungsmustern. Es bietet eine strukturierte Darstellung der Begriffe zur Beschreibung von Verwitterungsphänomenen an Steinmaterialien im Bereich der Denkmalpflege.,,International,"deutsch, englisch","PDF, SKOS, TURTLE, N-Triples",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Illustrated Glossary: Mosaics in Situ Project,https://www.getty.edu/conservation/publications_resources/pdf_publications/pdf/mosaicglossary.pdf,Getty Conservation Institute,"Vokabular, Fachdokumentation","Dieses illustrierte Glossar wurde vom Getty Conservation Institute in Zusammenarbeit mit der Israel Antiquities Authority entwickelt und später mit dem Institut National du Patrimoine in Tunesien überarbeitet. Es bietet eine standardisierte Terminologie zur Beschreibung des Zustands und der Interventionen bei in situ Fußbodenmosaiken, unterstützt durch klare Definitionen und Illustrationen.",,USA,englisch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust ,TRUE,FALSE,TRUE,TRUE
Illustrated Glossary: Technician Training for the Maintenance of In Situ Mosaics,https://www.getty.edu/conservation/publications_resources/pdf_publications/pdf/illustrated_glossary_2014.pdf,Getty Conservation Institute,"Vokabular, Fachdokumentation","Dieses illustrierte Glossar begleitet das Handbuch zur Ausbildung von Technikern für die Pflege von in situ Mosaiken. Es bietet Definitionen und visuelle Beispiele für Begriffe, die häufig bei der Dokumentation von Konstruktionstechniken, früheren Eingriffen und Zuständen von Mosaiken verwendet werden.",,USA,"englisch, französisch, arabisch",PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust ,TRUE,TRUE,TRUE,TRUE
Infrastructure for Spatial Information in the European Community (INSPIRE),https://knowledge-base.inspire.ec.europa.eu/index_en,INfrastructure for SPatial Information in the European Community,"Datenschema, Fachdokumentation","Initiative der europäischen Kommission mit dem Ziel, eine europäische Geodateninfrastruktur für die Zwecke einer gemeinschaftlichen Umweltpolitik zu schaffen. Die Richtlinie 2007/2/EG (INSPIRE) verpflichtet die Mitgliedstaaten, Geobasisdaten sowie Geofachdaten, die in einem der 34 Anhangthemen aufgeführt sind, stufenweise über Netzdienste bereitzustellen. (aus Wikipedia)
Ein Anhangthema ist ""Schutzgebiete"" (""Protected Sites"").",,International,englisch,"Codelisten in SKOS/RDF, XML, HTML",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Interdisciplinary Multilingual Dictionary,http://www.imd.pk.edu.pl/?lang=en&page=main,Cracow University of Technology,Vokabular,"Das Interdisciplinary Multilingual Dictionary (IMD) ist ein mehrsprachiges Fachwörterbuch, das Begriffe aus verschiedenen technischen und wissenschaftlichen Disziplinen umfasst. Es dient als Referenz für Fachleute und Studierende, die in internationalen und interdisziplinären Kontexten arbeiten.",,PL,"englisch, polnisch, deutsch",HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
International image interoperability framework,https://iiif.io/,IIIF Consortium,Datenschema,"IIIF ist ein internationaler Standard zur Bereitstellung und Präsentation digitaler Bilder und audiovisueller Inhalte. Es definiert offene APIs, die eine interoperable Darstellung, Annotation, Suche und den Zugriff auf hochauflösende Medien über verschiedene Plattformen hinweg ermöglichen.",,International,englisch,"API, JSON-LD",CC BY 4.0,TRUE,TRUE,TRUE,TRUE
Internetressourcen-Sammlung zur Erhaltung von Kulturgut,https://hornemann-institut.hawk.de/de/ressourcen,"Hornemann-Institut, HAWK Hildesheim","Repositorium, Fachdokumentation","Umfangreiche kommentierte Linksammlung zu Online-Ressourcen im Bereich Konservierung, Restaurierung und Denkmalpflege mit thematischer Gliederung in über ein Dutzend Kategorien.",,DE,"deutsch, englisch",HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Introduction to Metadata: Glossary,https://www.getty.edu/research/publications/electronic_publications/intrometadata/glossary.html,Getty Research Institute,Vokabular,"Das Glossar ist Teil der dritten Ausgabe von „Introduction to Metadata“, herausgegeben vom Getty Research Institute. Es bietet präzise Definitionen zentraler Begriffe im Bereich Metadaten, einschließlich Konzepte wie „crosswalk“, „markup language“ und „MARC“. Dieses Glossar dient als Referenz für Fachleute in Bibliotheken, Archiven, Museen und der digitalen Kulturerbe-Praxis.",,USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust ,TRUE,FALSE,TRUE,TRUE
IRUG Spectral Database,http://www.irug.org/search-spectral-database,,"Repositorium, Fachdokumentation","Die IRUG Spectral Database ist eine internationale, peer-reviewte Sammlung von Infrarot- (IR) und Raman-Spektren, die speziell für die Analyse von Materialien im Bereich der Konservierung und Restaurierung entwickelt wurde. Sie enthält über 2.930 Spektren von Pigmenten, Bindemitteln, Harzen, Wachsen und anderen kunsttechnologischen Substanzen.",,USA,englisch,"JCAMP-DX, HTML",Teilweise offen; Zugriff auf Spektren erfordert Mitgliedschaft und Beitrag von Daten,"Teilweise (Metadaten öffentlich, vollständige Spektren nach Anmeldung)",TRUE,TRUE,TRUE
Künstlerlexikon des Schweizerischen Institut für Kunstwissenschaft,https://recherche.sik-isea.ch/de/everything/on/sikart,Schweizerische Institut für Kunstwissenschaft,"Fachdokumentation, Repositorium","Das SIKART Lexikon ist ein redaktionell betreutes, regelmäßig aktualisiertes und reich illustriertes Online-Nachschlagewerk des Schweizerischen Instituts für Kunstwissenschaft (SIK-ISEA). Es bietet umfassende Informationen zu historischen und zeitgenössischen Künstlerinnen und Künstlern der Schweiz, einschließlich biografischer Daten, Werkverzeichnisse, Ausstellungen, Literatur und Auszeichnungen.",,CH,"deutsch, französisch, italienisch, englisch",HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Kunsttechnologische Rezepte des Mittelalters und der frühen Neuzeit,https://www.th-koeln.de/kulturwissenschaften/kunsttechnologische-rezeptsammlung_25065.php,"""Technische Hochschule Köln - 
CICS - Cologne Institute of Conservation Sciences
Institut für Restaurierungs- und Konservierungswissenschaft""","Repositorium, Fachdokumentation","Die Kunsttechnologische Rezeptsammlung ist eine digitale Datenbank, die mittelalterliche und frühneuzeitliche kunsttechnologische Rezepte aus handschriftlicher Überlieferung erfasst. Sie bietet Transkriptionen, moderne Übersetzungen und Verschlagwortungen von Rezepten zur Farbherstellung, Maltechnik, Textil- und Metallbearbeitung sowie weiteren kunsttechnologischen Verfahren.",,DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Language of Bindings Thesaurus,https://www.ligatus.org.uk/lob/,University of the Arts London,Vokabular,Der Language of Bindings Thesaurus (LoB) ist ein kontrolliertes Vokabular zur Beschreibung historischer Bucheinbände. Er bietet standardisierte Begriffe für Merkmale und Techniken der Buchbindung und unterstützt Fachleute bei der präzisen Dokumentation und dem Austausch von Informationen über Bucheinbände.,,UK,englisch,"SKOS, Cidoc CRM",CC BY-SA 4.0,TRUE,TRUE,TRUE,FALSE
Lehm-Glossar,https://www.lda-lsa.de/veroeffentlichungen/lehm-glossar,Landesamt für Denkmalpflege und  Sachsen-Anhalt,Vokabular,"Ein viersprachiges, illustriertes Glossar von Fachbegriffen der traditionellen Lehmbautechnik (Wände). Es kann als Grundlagen- oder Nachschlagewerk und gleichzeitig als praktischer Leitfaden für die Feldarbeit für Funde und Befunde mit Lehmbautechnik dienen.",,DE,"deutsch, englisch, französisch, spanisch",PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Landesamt für Denkmalpflege und Sachsen-Anhalt 2019,TRUE,FALSE,TRUE,TRUE
Leitfaden zur Erstellung von restauratorischen Dokumentationen in der Bau- und Kunstdenkmalpflege,https://www.berlin.de/landesdenkmalamt/service/formulare/#Restaurierung,Landesdenkmalamt Berlin,Fachdokumentation,"Der Leitfaden umfasst verbindliche Vorgaben zu Inhalt, Form und Medien einer restauratorischen Dokumentation für das Land Berlin und enthält eine Zusammenstellung der zeitgemäß wichtigsten Anforderungen. Die Vorgaben für Materialien und Medien bezüglich der Archiv- und Alterungsbeständigkeit ermöglichen dem LDA seiner Aufgabe der Langzeitarchivierung nachzukommen. Auf der Webseite sind auch weitere Formulare für Restaurierungsmaßnahmen vorhanden.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
Lexical and Classification Resources,https://cool.culturalheritage.org/lex/,Foundation for Advancement in Conservation (FAIC),"Vokabular, Repositorium","Eine umfangreiche Sammlung von Glossaren, Thesauri, Klassifikationsschemata und verwandten Ressourcen, die sich auf die Konservierung und Restaurierung von Kulturgütern konzentrieren. Diese Sammlung dient als Referenz für Fachleute in der Denkmalpflege und verwandten Bereichen.",,USA,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Lexikon Chemie,https://www.chemie.de/lexikon/,LUMITOS,Vokabular,"Das chemie.de Lexikon bietet über 34.000 Artikel zu Begriffen aus Chemie, Pharmazie, Materialwissenschaften und verwandten naturwissenschaftlichen Disziplinen. Es dient als umfassendes Nachschlagewerk für Fachleute und Interessierte.",,DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Lexikon historische und exklusive Baustoffe,https://www.exklusive-baustoffe.de/baurat/lexikon/,XMC-Computer,Vokabular,"Umfangreiche Sammlung von Fachbegriffen aus den Bereichen historisches Bauen, Restaurierung und Denkmalpflege. Es dient als Nachschlagewerk für Fachleute und Interessierte, die sich mit traditionellen Bauweisen und Materialien beschäftigen.",,DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Lightweight Information Describing Objects (LIDO),https://cidoc.mini.icom.museum/working-groups/lido/lido-overview/about-lido/what-is-lido/  ,ICOM - International Council of Museums,Datenschema,LIDO (Lightweight Information Describing Objects) ist ein XML-basiertes Austauschformat für strukturierte Deskriptionsdaten zu Sammlungsobjekten. Es wird zur Aggregation und Veröffentlichung von Museums- und Kulturdaten verwendet und ist mit semantischen Modellen wie CIDOC CRM kompatibel.,,International,englisch,XML,CC BY 4.0,TRUE,TRUE,TRUE,TRUE
Linked Conservation Data - conservation-vocabularies GitHub Repository ,https://github.com/linked-conservation-data/conservation-vocabularies/tree/master,"Linked Conservation Data Consortium (u.A. British Museum, Getty Research Institute, Institute of Conservation, San Francisco Museum of Modern Art, National Gallery London, Sapienza Universitá di Roma, Stanford Libraries, University of the Arts London)","Vokabular, Repositorium","Das Repository „Conservation Vocabularies“ des Linked Conservation Data (LCD) Projekts sammelt strukturierte Vokabulare, Thesauri und Wortlisten, die in der Restaurierung und Konservierung verwendet werden. Es enthält sowohl veröffentlichte als auch lokal genutzte Vokabulare sowie Daten zur semantischen Verknüpfung dieser Ressourcen. Ziel ist es, die Interoperabilität und Wiederverwendbarkeit von konservierungsbezogenen Begriffen im Sinne von Linked Open Data zu fördern.",,International,englisch,GitHub,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Linked Open Archaeological Data Ontology (LADO),https://wissit.pages.gitlab.rlp.net/lado/index-en.html,Leibniz-Zentrum für Archäologie (LEIZA),Ontologie,Formale Ontologie zur semantischen Beschreibung archäologischer Artefakte und ihrer Kontexte. Sie basiert auf dem CIDOC Conceptual Reference Model (CIDOC CRM) und ermöglicht die strukturierte Darstellung und Verknüpfung archäologischer Daten im Sinne von Linked Open Data. ,,DE,englisch,"OWL, RDF/XML, Turtle, JSON-LD, N-Triples",Creative Commons Attribution 4.0 International (CC BY 4.0),TRUE,TRUE,TRUE,TRUE
Linked Places Data Format (LPF),https://github.com/LinkedPasts/linked-places-format,,Datenschema,"Das Linked Places Format (LPF) ist ein offener Standard zur Beschreibung historischer Ortsdaten. Es ermöglicht die Verknüpfung von Ortsangaben aus verschiedenen Gazetteer-Datenbanken und unterstützt sowohl JSON-LD als auch GeoJSON. LPF erlaubt die zeitliche Einordnung von Ortsnamen, Geometrien und Beziehungen und wird in Projekten wie dem World Historical Gazetteer (WHG) und Recogito eingesetzt.",,International,englisch,GitHub,Open Source (GitHub Repository),TRUE,TRUE,TRUE,TRUE
LVR-Grabungsrichtlinien,https://bodendenkmalpflege.lvr.de/de/service/grabungsrichtlinien/grabungsrichtlinien_1.html,LVR-Amt für Bodendenkmalpflege im Rheinland,Fachdokumentation,"Die Prospektions- und Grabungsrichtlinien des LVR-Amts für Bodendenkmalpflege im Rheinland definieren verbindliche Standards für archäologische Maßnahmen im Rheinland. Sie enthalten Anforderungen an Prospektions- und Grabungstechniken, Fundbearbeitung, Einsatz geoarchäologischer und naturwissenschaftlicher Methoden sowie zur Dokumentation der Maßnahmen. Zudem beinhalten sie Redaktionshinweise für Fachpublikationen und verschiedene Formblätter und Listen.",,DE,deutsch,"PDF, ZIP, Excel, CSV",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
LWL-Grabungsrichtlinien,https://www.lwl-archaeologie.de/media/filer_public/2c/fe/2cfe3b94-ac59-48f4-9202-555b3f165987/lwl_grabungsrichtlinien_maerz_2023.pdf,LWL- für Westfalen,Fachdokumentation,"Grabungsrichtlinien des Landes Nordrhein-Westfalen im Zuständigkeitsgebiet der LWL- für Westfalen, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Massenfunde in archäologischen Sammlungen,https://www1.rgzm.de/kur/index.cfm?Layout=holz&Content=start&Language=de&Node=j1_2,Leibniz-Zentrum für Archäologie (LEIZA),"Repositorium, Fachdokumentation","Die KUR Online-Datenbank dokumentiert die Ergebnisse des Projekts „Massenfunde in archäologischen Sammlungen“ (2008–2011), das verschiedene Methoden zur Konservierung von archäologischem Nassholz systematisch verglichen hat. Ziel war es, Restauratoren und Archäologen praxisnahe Entscheidungshilfen für die Konservierung großer Fundmengen bereitzustellen.",,DE,"deutsch, englisch",HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
MaSC spectral database,https://mascgroup.org/database/data-submission/,User's group for mass spectrometry and chromatography,"Anwendung/Software, Repositorium","Webbasiertes Tool zur Einreichung von Massenspektren, insbesondere für die Konservierungswissenschaft. Mitglieder können Spektren im JCAMP-DX-Format hochladen, um eine gemeinsame Datenbank aufzubauen.",,International,englisch,"JCAMP-DX, NIST, PDF, ASCII",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,Eingeschränkt (nur für registrierte Mitglieder),TRUE,TRUE,TRUE
Materialarchiv,https://materialarchiv.ch/de?type=all,Material Archiv CH,"Repositorium, Fachdokumentation","Frei zugängliche, multimediale Wissensplattform über Werkstoffe, ihre Eigenschaften, Herstellungsprozesse und Anwendungen. Die Plattform verknüpft digitale Inhalte mit physischen Mustersammlungen und wird von einem Netzwerk aus Hochschulen, Museen und Institutionen getragen.",,CH,"deutsch, englisch",HTML,Keine spezifische Lizenz angegeben; Inhalte sind öffentlich zugänglich,TRUE,TRUE,TRUE,FALSE
Materials Testing Results,https://www.conservation-wiki.com/wiki/Materials_Testing_Results,American Institute for Conservation,"Repositorium, Fachdokumentation","Umfangreiche Sammlung von Testergebnissen für Materialien, die in der Konservierung und Ausstellung von Kulturgütern verwendet werden. Die Datenbank enthält Informationen zu verschiedenen Materialien wie Stoffen, Klebstoffen, Farben und Dichtstoffen, die auf ihre Eignung für den Einsatz in der Nähe von Kunstobjekten getestet wurden.",,International,englisch,MediaWiki,Informationen dienen nur zu Informationszwecken; keine spezifische Lizenz angegeben,TRUE,TRUE,TRUE,TRUE
"Richtlinie zur Durchführung archäologischer Maßnahmen in Mecklenburg-Vorpommern, Stand: November 2021",https://www.kulturwerte-mv.de/Landesarchaeologie/Arch%C3%A4ologisches-Kulturerbe/Ausgrabungen/downloads-ausgrabung/,"Landesamt für Kultur und Denkmalpflege Mecklenburg-Vorpommern, Landes","Fachdokumentation, Vokabular, Datenschema, Repositorium","Dokumente und Vorlagen für die Durchführung archäologischer Maßnahmen in Mecklenburg-Vorpommern. Dazu gehören u.a Richtlinien und Checklisten sowie Vorgaben zur Datenstrukturen, Listenaufbau und GIS-Vorlagen, die eine standardisierte Dokumentation und Durchführung von Ausgrabungen und anderen archäologischen Tätigkeiten ermöglichen. Auch mehrere Wortlisten zur Befundansprache, Materialien, Objekttypen, Zeitstufen und Landkreisen, die in der archäologischen Arbeit in Mecklenburg-Vorpommern verwendet werden, stehen zur Verfügung.",,DE,deutsch,"PDF, CSV",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Metadaten-Harmonisierung zu Archäologischen Schutzgebieten,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-1,Verband der Landesn,Fachdokumentation,"Empfehlung für eine harmonisierte Verwendung von INSPIRE-Metadaten für archäologische ""Schutzgebiete"", die Anforderungen und Wünsche des Verbandes der Landesn berücksichtigt",,DE,deutsch,INSPIRE,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,FALSE,TRUE
"MIDAS - Marburger Informations-, Dokumentations- und Administrations-System",https://ddk-data.online.uni-marburg.de/w/index.php/MIDAS ; https://archiv.ub.uni-heidelberg.de/artdok/3770/1/Bove_Heusinger_Kailus_MIDAS_Handbuch_2001.pdf ,"BildarchivFoto Marburg
DeutschesDokumentationszentrumfürKunstgeschichte
Philipps-Universität Marburg",Datenschema,"Das Marburger Informations-, Dokumentations- und Administrations-System ist ein Norm- und Regelwerk zur strukturierten Erfassung und Verwaltung kunst- und kulturhistorischen Daten. Es definiert standardisierte Datenfelder, Begriffe und Erfassungsregeln für Objekte, Personen, Orte, Ereignisse und Quellen. MIDAS dient als konzeptionelle Grundlage für Datenbanken und Austauschformate und unterstützt eine konsistente, nachnutzbare Erschließung von Forschungs- und Sammlungsdaten. ",,DE,deutsch,"TXT, ULD, HiDO, APS, PDF, LIDO, CIDOC CRM",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
Monument Damage Information System (MONDIS),https://www.mondis.cz/en/web/portal,Technische Universität Prag,"Anwendung/Software, Ontologie","Webbasiertes Expertensystem, das Fachleute bei der Bewertung, Dokumentation und Analyse von Schäden an denkmalgeschützten Bauwerken unterstützt. Es basiert auf einer Ontologie, die spezifische Begriffe und Beziehungen im Bereich der Denkmalpflege formalisiert. Das System ermöglicht die strukturierte Erfassung von Fallstudien und allgemeinen Fachkenntnissen, um fundierte Entscheidungen über Restaurierungsmaßnahmen zu treffen. Die Monument Damage Ontology zielt darauf ab, ein konzeptionelles Modell zu erstellen, in dem die für den Bereich des kulturellen Erbes relevanten Faktoren und ihre Wechselbeziehungen formalisiert werden. Sie umfasst Begriffe und Relationen zu Baudenkmalen, Schäden, Schadensphänomenen uvm.",,CZE,"englisch, tschechisch","OWL 2, OpenRDF Sesame triple store",Ontologie nach Open Data. Weitere Datensammlung keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
Multilingual Bookbinding and Conservation Dictionary,http://digitalcellulose.com/wiki/,Suzy Morgan and Peter Verheyen,Vokabular,"Frei zugängliches Online-Wörterbuch, das Terminologie aus den Bereichen Buchbinderei und Buchrestaurierung in mehreren Sprachen zusammenführt. Es richtet sich an Restaurator:innen, Buchbinder:innen und Buchwissenschaftler:innen. Ziel ist es, aktuelle und historische Fachbegriffe aus verschiedenen Quellen zu bündeln und als Übersetzungshilfe bereitzustellen.",,International,"deutsch, englisch, etc.",Semantic MediaWiki,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
